title_uias,id,title,title_en,plot,year,countries,tagline,actors,directors,screenwriters,producers,operators,composers,art_direction_by,editing_by,genres,cast,budget,marketing,profit_usa,profit_russia,profit_world,audience,rating,votes,imdb_rating,imdb_votes,runtime,release,posters,trailers,youtube_ids,series,series_years,release_russia,release_world,viewers,budget.1,age_restr
Тёмные времена,972777,Темные времена,Darkest Hour,"История о первом и решающем шаге Уинстона Черчилля на посту премьер-министра Великобритании, получившего власть при чрезвычайных обстоятельствах. Успехи нацистской армии взбудоражили британское сообщество, но вопреки давлению и страху других политиков Черчилль отказывается идти на соглашение с Гитлером.",2017,"Великобритания, США",«Никогда не сдавайся»,"Гари Олдман, Кристин Скотт Томас, Бен Мендельсон, Лили Джеймс, Рональд Пикап, Стивен Диллэйн, Николас Джонс, Сэмюэл Уэст, Дэвид Скофилд, Ричард Ламсден",Джо Райт,Энтони МакКартен,"Тим Беван, Джеймс Биддл, Лиза Брюс",Брюно Дельбоннель,Дарио Марианелли,"Сара Гринвуд, Оливер Гудье, Ник Готтшалк",Валерио Бонелли,"драма, военный, биография, история",{},None,None,56468410,670226,150847207,,7.417,32317,None,None,125,None,,,,FALSE,(),1 сентября 2017,18 января 2018,133.4 тыс.,$56 468 410,None
Тоня против всех,1008385,Тоня против всех,"I, Tonya","Американской фигуристке Тоне Хардинг пришлось нелегко: сначала тяжелое детство с грозной матерью, потом тяжелая юность, ранний брак с проходимцем и неудачи на соревнованиях из-за заниженных судьями оценок. А потом случился скандал: во время важнейших соревнований план запугать конкурентку выходит Тоне боком.",2017,"Великобритания, США, Катар",«Theres no need to have class when you have talent»,"Марго Робби, Себастиан Стэн, Эллисон Дженни, Джулианна Николсон, Пол Уолтер Хаузер, Бобби Каннавале, Бояна Новакович, Кэйтлин Карвер, Мэйзи Смит, Маккенна Грейс",Крэйг Гиллеспи,Стивен Роджерс,"Том Акерли, Марго Робби, Стивен Роджерс",Николас Каракатсанис,Питер Нашел,"Джейд Хили, Andi Crumbley, Николь Элеспуру",Татьяна С. Ригел,"биография, спорт, комедия, драма",{},11000000,None,30014539,391034,53939297,,7.314,64598,None,None,120,None,,,,FALSE,(),8 сентября 2017,1 февраля 2018,None,$11 000 000,None
Колесо чудес,988160,Колесо чудес,Wonder Wheel,"История страсти, жестокости и предательства, рассказывающая о четырех героях, чьи судьбы переплелись среди бурной жизни знаменитого парка развлечений. Действие разворачивается на живописном Кони Айленде в Нью-Йорке.",2017,США,,"Джастин Тимберлейк, Джуно Темпл, Роберт С. Кирк, Кейт Уинслет, Джеймс Белуши, Джек Гор, Томми Нохилли, Тони Сирико, Стив Ширрипа, Джон Думаньян",Вуди Аллен,Вуди Аллен,"Эрика Аронсон, Летти Аронсон, Марк Аттанасио",Витторио Стораро,,"Санто Локосто, Мигель Лопес-Кастильо, Сьюзи Бензингер",Алиса Лепселтер,драма,{},25000000,None,1404061,488566,15889124,,6.65,13109,None,None,101,None,,,,FALSE,(),14 октября 2017,8 февраля 2018,None,$25 000 000,None
Убийство священного оленя,984309,Убийство священного оленя,The Killing of a Sacred Deer,"Успешный кардиохирург Стивен живёт обычной размеренной семейной жизнью с женой Анной и двумя прелестными детьми. Но вскоре спокойствие нарушается призраком из прошлого Стивена, и у одного из его детей без видимой причины отказывают ноги.",2017,"Ирландия, Великобритания",,"Колин Фаррелл, Николь Кидман, Барри Кеоган, Рэффи Кэссиди, Санни Сулджик, Алисия Сильверстоун, Билл Кэмп, Денис Даль Вера, Мин Ван, Барри Дж. Бернсон",Йоргос Лантимос,"Йоргос Лантимос, Эфтимис Филиппоу","Эд Гвини, Йоргос Лантимос, Дэниэл Баттсек",Тимиос Бакатакис,,"Джейд Хили, Daniel Baker, Нэнси Стейнер",Йоргос Мавропсаридис,"ужасы, триллер, драма, детектив",{},None,None,2291901,303533,7027336,,6.805,34452,None,None,121,None,,,,FALSE,(),22 мая 2017,15 февраля 2018,59.9 тыс.,$2 291 901,None
Страна призраков,1007477,Страна призраков,Ghostland,"Писательница Бэт возвращается в родные места, где много лет назад с её семьёй произошла страшная трагедия. В старом особняке её ждут мать и сумасшедшая сестра, так и не оправившаяся от того ужасного инцидента, превратившего её жизнь в параноидальный кошмар. Но вскоре после приезда Бэт в доме начинают происходить странные события.",2017,Франция,«You really thought youve been scared?»,"Кристал Рид, Милен Фармер, Анастасия Филлипс, Эмилия Джонс, Тэйлор Хиксон, Кевин Пауэр, Роб Арчер, Мариам Бернштейн, Алисия Джонстон, Эрнесто Гриффит",Паскаль Ложье,Паскаль Ложье,"Йен Димерман, Скотт Кеннеди, Жан-Шарль Леви",Дэнни Новак,Тодд Брайнтон,"Гордон Уидлинг, Бренда Шендер, Сара МакКадден",Дев Сингх,"ужасы, триллер, драма, детектив",{},None,None,None,256779,5643957,,6.498,17674,None,None,91,None,,,,FALSE,(),3 февраля 2018,15 марта 2018,None :,$5 643 957,None
Леонардо: Миссия Мона Лиза,1082597,Леонардо: Миссия Мона Лиза,Leo Da Vinci: Mission Mona Lisa,"Леонардо живёт спокойной и мирной жизнью, посвятив себя изобретательству. Его друг Лоренцо во всём помогает товарищу и поддерживает во всех начинаниях, а вот прекрасная Джоконда насмехается над странными идеями Леонардо. Но вскоре в жизни девушки происходит несчастье — в ее доме происходит пожар, и она остается ни с чем. Однажды в их город забредает рассказчик, который упоминает о потерянном сокровище, которое ещё никому не удавалось найти. Ребята решают, что им повезёт, и отправляются в удивительное путешествие.",2018,Италия,,"Алекс Полидори, Эмануэла Ионика, Габриэль Патриарка, Арианна Виньоли, Джулио Бартоломеи, Роберто Драгетти, Франко Маннелла, Роберто Стокки, Давид Джарболино, Стефано Мондини",Серджо Манфио,"Франческо Манфио, Серджо Манфио, Анна Манфио",Фабио Теста,,Марко Федальто,,Умберто Барисон,"мультфильм, приключения, семейный",{},None,None,None,212806,None,,5.598,1732,5,371,90,None,,,,FALSE,(),11 января 2018,19 апреля 2018,61.6 тыс.,None,None
Статус: Обновлен,978020,Статус: Обновлен,Status Update,"Мы оцениваем друг друга по количеству подписчиков и гоняемся за лайками, чтобы обрести популярность. Кайл живет точно так же, не выпуская из рук телефон, а из-под ног — скейт. Неожиданно ему достается новый смартфон с уникальным приложением — теперь любой опубликованный им пост воплощается в реальность. Счастливчик обретает даже больше, чем мог себе представить, но быть в эпицентре мира, оказывается, не так-то легко…",2018,"Канада, США, Китай",«What if your posts became a reality?»,"Росс Линч, Оливия Холт, Харви Гильен, Кортни Итон, Грегг Салкин, Брэк Бэссинджер, Мод Грин, Маркиян Тарасюк, Эндрю Херр, Мика",Скотт Спир,Джейсон Филарди,"Дженнифер Джибгот, Доминик Рустам, Адам Шенкман",Расс Т. Олсоубрук,Джефф Кардони,"Лиз Кэй, Чери Кролл, Лоррэйн Карсон",Шон Валла,"фэнтези, мелодрама, комедия",{},None,None,4764,100943,416178,,5.955,5642,5.8,3500,106,None,,,,FALSE,(),9 февраля 2018,10 мая 2018,27.3 тыс.,$4 764,None
Невидимый гость,959365,Невидимый гость,Contratiempo,"Молодого бизнесмена Адриана Дориа обвиняют в убийстве любовницы, и он решает воспользоваться услугами Вирджинии Гудман, лучшего в стране специалиста по выходу из самых сложных ситуаций. Адриан содержится под домашним арестом, а завтра состоится судебное заседание, поэтому вечером к нему приходит Вирджиния, чтобы придумать наилучшую стратегию защиты. Для неё это последнее дело, и она не собирается его проигрывать.",2016,Испания,«У каждой истории две стороны. Правда - только одна»,"Марио Касас, Ана Вахенер, Хосе Коронадо, Барбара Ленни, Франсеск Орелья, Пако Тоус, Давид Сельвас, Иньиго Гастези, Сан Еламос, Манель Дуэсо",Ориол Паоло,Ориол Паоло,"Мерседес Гамеро, Адриан Герра, Микель Лехарса",Чави Хименес,Фернандо Веласкес,"Бальтер Гальярт, Эва Торрес, Мигель Сервера",Жауме Марти,"триллер, криминал, детектив",{},None,None,None,283197,31191910,,7.75,85000,8.1,106081,106,None,,,,FALSE,(),23 сентября 2016,31 мая 2018,"555.5 тыс.,      59.7 тыс.",€4 000 000,None
Сага о чудовище. Сумерки,939579,Сага о чудовище. Сумерки,Wildling,"16-летняя Анна всю жизнь провела в четырёх стенах. Отец запугал девочку монстром, рыскающим снаружи и пожирающим детей. Анну освобождает местный шериф Эллен и берёт к себе жить, и стоит освобожденной девушке узнать, что никто про страшных чудовищ и слыхом не слыхивал, как начинают происходить странные события.",2018,США,«Начало легенды»,"Бел Паули, Брэд Дуриф, Лив Тайлер, Коллин Келли-Сорделет, Джеймс ЛеГрос, Трой Раптэш, Кинэн Джолифф, Майк Фейст, Шарлотта Уббен, Арло Мерц",Фритц Бём,"Фритц Бём, Флориан Эдер","Селин Рэттрэй, Труди Стайлер, Лив Тайлер",Тоби Оливер,Пол Хаслингер,"Лорен Фицсиммонс, Мэри Лина Колстон, Ванесса Портер","Мэттью Ранделл, Робб Салливан","ужасы, фэнтези, триллер, драма",{},None,None,None,92874,504718,,5.221,3926,None,None,92,None,,,,FALSE,(),10 марта 2018,21 июня 2018,None :,$504 718,None
Осторожно: Грамп!,1038941,Осторожно: Грамп!,Here Comes the Grump,"Главный герой мультфильма, мальчик Терри, был уверен, что забавные волшебники, драконы-полицейские, королевство воздушных шариков и другие самые причудливые явления встречаются только в книжках его бабушки. Но бабушка забыла предупредить: её сказки основаны на реальных событиях! Теперь Терри предстоит спасти волшебную страну Игрувию от злого волшебника Грампа, а помогать ему будут мечтательная принцесса Лучик и птичка-навигатор ДжипиСойка. Впереди — много опасных, но весёлых приключений, приятных (и не очень) знакомств и самых неожиданных открытий. Осторожно: сказка начинается!",2018,"Великобритания, Мексика, США",,"Тоби Кеббелл, Лили Коллинз, Кит Викхэм, Дэвид Холт, Эмма Тейт, Эми Томпсон, Jay Britton, Андрес Уильямс, Клэр Морган, Пол Тайлак",Андрес Кутерье,"Джим Хехт, Алисия Нуньес Пуэрто","Грегори Гавански, Билл Шульц, Эдоардо Бусси",,Джеймс Сеймур Бретт,,Дж. Мартин Тельес Андраде,"мультфильм, приключения, комедия, фэнтези, семейный",{},None,None,None,296101,None,,5.34,421,4.7,530,97,None,,,,FALSE,(),1 марта 2018,28 июня 2018,,None,None
Пылающий,1048563,Пылающий,Beoning,"Молодой человек Ли Джон-су, ничем особо не занятый, встречает соседскую девушку Хэ-ми, с которой они вместе росли. Та собирается съездить в Африку и просит нового знакомого присмотреть за её кошкой, а возвращается из поездки не одна, а с состоятельным молодым человеком Беном. Однажды парочка приходит к Джон-су, и Бен рассказывает о своем тайном хобби. С этого момента Джон-су лишается покоя, и его начинает одолевать предчувствие страшного.",2018,Корея Южная,«У каждого есть своя тайна»,"Ю А-ин, Чон Джон-со, Стивен Ян, Ким Су-гён, Чхве Сын-хо, Мун Сон-гын, Мин Бок-ки, Пан Хе-ра, Ли Бон-нён, Пак Сын-тхэ",Ли Чхан-дон,"О Джон-ми, Ли Чхан-дон, Харуки Мураками","Ли Джун-дон, Ли Чхан-дон, Ок Кван-хи",Хон Гён-пхё,Моуг,"Щин Джом-хи, Ли Чхун-ён","Ким Хён, Ким Да-вон","детектив, триллер, драма",{},None,None,718991,226496,7558651,,6.95,15455,None,None,148,None,,,,FALSE,(),16 мая 2018,5 июля 2018,"528 тыс.,      52.8 тыс.",$718 991,None
Офисный беспредел,1025011,Офисный беспредел,Office Uprising,"Глава крупной корпорации, производящей разнообразные виды оружия, на очередном корпоративном собрании напоил сотрудников находящимся в разработке энергетическим напитком. Однако партия оказалась бракованной, и подчиненные стали гиперагрессивными. Без порции энергетика остались только вечно отлынивающий от собраний бухгалтер Десмонд и пара его сослуживцев. Теперь им предстоит пережить настоящий офисный беспредел.",2018,США,«Worst. Workday. Ever»,"Брентон Туэйтс, Джейн Леви, Каран Сони, Закари Ливай, Грегг Генри, Курт Фуллер, Иэн Хардинг, Бэрри Шебака Хенли, Алан Ричсон, Сэм Дэйли",Лин Одинг,"Иэн Шорр, Питер Гэмбл Робинсон","Роб Бонз, Джон Ли Броди, Уильям Клевингер",Роберт Бринкманн,Тим Джонс,"Джо Леммон, Стив Мун, Морган Дегрофф",Роб Бонз,"ужасы, боевик, комедия",{},8000000,None,None,144119,165623,,5.372,3933,None,None,92,None,,,,FALSE,(),19 июня 2018,19 июля 2018,38 тыс.,$8 000 000,None
Жаркие летние ночи,928993,Жаркие летние ночи,Hot Summer Nights,"Жизнь подростка идет кувырком после знакомства с главным бунтарем города. Ситуация усугубляется, когда парень одновременно ухитряется и влюбиться, и стать наркоторговцем, и всё это — в течение одного лета, проведенного на полуострове Кейп-Код в штате Массачусетс.",2017,США,«Одно лето может изменить всё»,"Тимоти Шаламе, Майка Монро, Алекс Роу, Эмори Коэн, Томас Джейн, Майя Митчелл, Уильям Фихтнер, Джанин Серраллес, Рис Эннис, Джек Кеси",Элайджа Байнум,Элайджа Байнум,"Дэн Фридкин, Райан Фридкин, Брэдли Томас",Хавьер Хулия,Уильям Бейтс,"Кэй Ли, Evan Maddalena, Кэрол Катшелл","Джефф Кастеллуччо, Том Костантино, Дэн Циммерман","драма, мелодрама, комедия, криминал",{},None,None,None,141309,246133,,6.775,10554,None,None,107,None,,,,FALSE,(),13 марта 2017,2 августа 2018,None :,$246 133,None
По ту сторону океана,630465,По ту сторону океана,Da yu hai tang,"В сердце океана сокрыт волшебный мир — обитель существ, управляющих течениями и сменой времён года. У них есть традиция: как только обитатель того мира достигает 16-летия, он должен на 7 дней отправиться в мир людей. Девушка Юна принимает облик красного дельфина и плывет посмотреть на человечество, но попадает в рыболовные сети. Ценой собственной жизни её спасает местный парень, и тогда Юна, чувствуя вину и ответственность, обращает его душу в маленькую рыбку и берет её с собой в волшебный мир.",2016,Китай,,"Цзи Гуаньлинь, Су Шанцин, Сюй Вэйчжоу, Цзинь Шицзя, Пань Шулань, Чжан Юаньюань, Цзюэр, Сюэ Лифан, Чжан Цзе, Лю Сяоюй","Лян Сюань, Чжан Чунь",Лян Сюань,"Чэнь Цзе, Филип Чань, Чэнь Личжи",Лян Сюань,Киёси Ёсида,Чжан Чунь,Ту Ижань,"мультфильм, фэнтези, мелодрама",{},None,None,None,127922,85557721,,7.484,6753,7.1,4018,100,None,,,,FALSE,(),3 июля 2016,9 августа 2018,36.9 тыс.,CNY 30 000 000,None
Лондонские поля,463858,Лондонские поля,London Fields,"Никола Сикс, роковая красотка, обладающая даром ясновидения, живет с предчувствием своей скорой смерти. Не удержавшись, она начинает опасный любовный роман сразу с тремя совершено разными мужчинами, хотя Никола точно знает, что один из них вскоре станет её убийцей…",2018,"Великобритания, США",«Каждый хочет Николу Сикс... Видеть мертвой»,"Эмбер Хёрд, Джим Стёрджесс, Тео Джеймс, Билли Боб Торнтон, Джейми Александер, Кара Делевинь, Джемма Чан, Джейсон Айзекс, Лили Коул, Александра Эванс",Мэтью Каллен,"Мартин Эмис, Роберта Хэнли","Джордан Гертнер, Крис Хэнли, Гейер Косински",Гильермо Наварро,"Адам Барбер, Бенсон Тейлор, Toydrum","Джереми Рид, Патрик Херцберг, Карли Реддин","Фред Фуке, Джо Пленис","триллер, криминал, детектив",{},8000000,None,252676,178279,487420,,5.794,8806,None,None,118,None,,,,FALSE,(),6 сентября 2018,20 сентября 2018,None,$8 000 000,None
Вечная жизнь Александра Христофорова,1045555,Вечная жизнь Александра Христофорова,,"В прошлом Христофоров был звездой театра и кино, теперь он аниматор в курортном городке. Но бывший актер не отчаивается — живет здесь и сейчас. И пусть бывшая жена строит козни, а сын его избегает, Христофоров упорно двигается дальше. После скандального увольнения фортуна делает герою сказочный подарок в виде любимой женщины. Поможет ли судьбоносная встреча изменить жизнь вечного неудачника?",2018,Россия,"«Фильм, который продлевает лето»","Алексей Гуськов, Оксана Фандера, Тимофей Трибунцев, Роман Курцын, Игорь Угольников, Лидия Вележева, Полина Пушкарук, Станислав Любшин, Анастасия Сомова, Александр Гох",Евгений Шелякин,"Евгений Шелякин, Павел Усачев, Павел Виноградов","Алексей Гуськов, Яков Драбкин",Артур Гимпель,"Михаил Морсков, Артем Федотов","Никита Трубецкой, Аги Ариунсэйчан Даваачу",Даниэл Овруцкий,комедия,{},None,None,None,327583,327101,,6.593,4973,None,None,104,None,,,,FALSE,(),23 ноября 2018,18 октября 2018,None :,$327 101,None
МУЛЬТ в кино. Выпуск № 84,1204964,МУЛЬТ в кино. Выпуск No84. Лучшие друзья,,"В новом выпуске «МУЛЬТ в кино» — большая премьера: продолжение любимого сериала под названием «Белка и Стрелка. Тайны космоса». Также смотрите самые свежие эпизоды мультфильмов «Ми-Ми-Мишки», «Катя и Эф. Куда-Угодно-Дверь», «Четверо в кубе» и «Лео и Тиг».",2018,Россия,,,"Александр Люткевич, Алексей Миронов, Михаил Медведев","Анастасия Нефедова, Андрей Рубецкой, Мария Парфёнова","Иван Кудрявцев, Татьяна Цыварева",,,,,"детский, мультфильм",{},None,None,None,None,None,,None,None,None,None,45,None,,,,FALSE,(),None,10 ноября 2018,None,None,None
Жена,891414,Жена,The Wife,"В течение сорока лет Джоан Кастельман приносила в жертву свой талант, мечты и амбиции, дабы фигура ее харизматичного супруга Джо, вкупе с его успешной карьерой нью-йоркского литератора, блистали ярко. Но в вечер перед вручением долгожданной Нобелевской премии Джоан решает раскрыть секреты мужа.",2017,"Великобритания, Швеция, США",«Никогда не поздно обрести себя»,"Гленн Клоуз, Джонатан Прайс, Кристиан Слэйтер, Макс Айронс, Энни Старк, Гарри Ллойд, Элизабет Макговерн, Юхан Видерберг, Карин Франц Корлоф, Ричард Кордери",Бьёрн Рунге,"Джейн Андерсон, Мэг Уолицер","Джо Бэмфорд, Клаудия Блюмхубер, Пьерс Темпест",Ульф Брантос,Жослин Пук,"Марк Лиз, Кэролайн Греббелл, Пол Густавссон",Лена Далберг,драма,{},None,None,9601092,138184,19978189,,6.993,8518,None,None,99,None,,,,FALSE,(),12 сентября 2017,22 ноября 2018,27.8 тыс.,$9 601 092,None
Тёмное зеркало,1027785,Тёмное зеркало,Look Away,"18-летняя старшеклассница Мария нелюбима родителями, и со сверстниками у девушки отношения не ладятся. Будучи изгоем, она доверяет все свои секреты и переживания собственному отражению в зеркале, воображаемому злому близнецу, который поддерживает, поощряет и знает все её тайны. Однажды Мария меняется местами со своим двойником, который начинает воплощать её самые дикие и необузданные желания.",2018,Канада,«Дай волю своим тайным желаниям»,"Индиа Айсли, Джейсон Айзекс, Мира Сорвино, Пенелопа Митчелл, Джон С. МакДональд, Харрисон Гилбертсон, Кристен Харрис, Кира Джонсон, Михал Бернштейн, Гленн Одеро",Асаф Бернштейн,Асаф Бернштейн,"Асаф Бернштейн, Брэд Каплан, Гиора Каплан",Педро Луке,Марио Григоров,"Майк Мулхолл, Эврен Кэтлин",Дэнни Рафик,"ужасы, фэнтези, триллер",{},None,None,None,549158,1119537,,5.374,9259,None,None,103,None,,,,FALSE,(),8 октября 2018,10 января 2019,None :,$1 119 537,None
Мирай из будущего,1045331,Мирай из будущего,Mirai no Mirai,"Четырёхлетний Кун наслаждается беззаботным детством, пока на свет не появляется его маленькая сестра Мирай. Так как младенец забирает всё внимание мамы и папы, мальчик очень ревнует родителей к сестрёнке и часто прячется на заднем дворе, где растёт волшебное семейное дерево. Внезапно Кун оказывается в фантастическом мире, где переплетаются настоящее, прошлое и будущее. Одного за другим он встречает родственников из разных времен: маму — маленькой девочкой, прадедушку — сильным юношей, а свою младшую сестру — подростком. Благодаря этим невероятным приключениям Кун открывает для себя новый мир.",2018,Япония,«I met the future.»,"Хару Куроки, Каэдэ Хондо, Мока Камисираиси, Тасуку Хатанака, Масахару Фукуяма, Кодзи Якусё, Ёсико Миядзаки, Гэн Хосино, Кумико Асо, Сакура Саига",Мамору Хосода,Мамору Хосода,"Юити Адати, Такуя Ито, Гэнки Кавамура",,Масакацу Такаги,"Анри Дзёдзё, Ёситака Камэда, Рэио Оно",Сигэру Нисияма,"аниме, мультфильм, приключения, фэнтези",{},None,None,812794,250071,27526961,,7.041,6142,None,None,98,None,,,,FALSE,(),16 мая 2018,31 января 2019,None :,$27 526 961,None
Ван Гог. На пороге вечности,1054990,Ван Гог. На пороге вечности,At Eternitys Gate,"Винсент Ван Гог одержим живописью и мечтает изменить мир. Он жил в Париже и водил дружбу с Полем Гогеном, который посоветовал ему искать яркий и тёплый свет на юге Франции. Переехав в небольшой город Арль и при финансовой поддержке брата там обосновавшись, Винсент заводит дружбу с местной трактирщицей и получает мощное вдохновение от местной природы. Именно тут и начинает формироваться его неповторимый художественный стиль, который, однако, пока не находит признания ни у знатоков, ни у публики.",2018,"Ирландия, Швейцария, Великобритания, Франция, США",«A Grain of Madness is the Best of Art»,"Уиллем Дефо, Руперт Френд, Оскар Айзек, Мадс Миккельсен, Матьё Амальрик, Эмманюэль Сенье, Нильс Ареструп, Анн Косиньи, Амира Касар, Венсан Перес",Джулиан Шнабель,"Жан-Клод Карьер, Джулиан Шнабель, Луиз Кугельберг","Джон Килик, Чарльз Антониоз, Макс Арвелайз",Бенуа Деломм,Татьяна Лисовская,"Стефан Крессен, Лоик Шавано, Карен Мюллер Серро","Луиз Кугельберг, Джулиан Шнабель","драма, биография",{},None,None,2294915,552233,11261585,,7.08,11148,None,None,111,None,,,,FALSE,(),3 сентября 2018,7 февраля 2019,126.4 тыс.,$2 294 915,None
Затерянные во льдах,1069265,Затерянные во льдах,Arctic,"В арктической пустыне — ледяной, снежной, оторванной от мира, где температура воздуха может опускаться до 700С, пилот потерпевшего крушение самолёта, отчаянно борется за жизнь. Он научился справляться с холодом, охотиться, чтобы прокормить себя. В этих условиях ему предстоит заботиться о спасательнице, которая попала в шторм и разбилась. Девушка серьёзно ранена, времени ждать помощи нет: мужчина вместе с умирающей отправляется в путь.",2018,Исландия,«Survival is its own journey»,"Мадс Миккельсен, Мария Тельма Смарадоттир, Тинтринай Тикнасук",Джо Пенна,"Джо Пенна, Райан Моррисон","Ной С. Хаюсснер, Кристофер Лемоул, Тим Заджарос",Тоумас Эрн Тоумассон,Джозеф Трапанезе,"Этли Геир Гретарссон, Даг Хардвик, Маргрет Эйнарсдоттир",Райан Моррисон,"драма, приключения",{},None,None,None,249817,19993,,6.771,15686,None,None,97,None,,,,FALSE,(),10 мая 2018,21 февраля 2019,None :,$19 993,None
Юморист,1006742,Юморист,,"У эстрадного юмориста Бориса Аркадьева в жизни все хорошо: счастливая семья, обожание миллионов, очередь поклонниц и благосклонность властей. Но комику не дает покоя несвобода и внешняя, и внутренняя: чем громче его успех на сцене, тем сильнее в нем назревает протест. И вот уже самый смешной становится слишком опасным.",2018,"Россия, Латвия, Чехия","«Шути, пока можно»","Алексей Агранович, Юрий Колокольников, Алиса Хазанова, Павел Ильин, Артем Волобуев, Полина Ауг, Семен Штейнберг, Вильма Кутавичюте, Ольга Дибцева, Даниэль Шифрин",Михаил Идов,"Михаил Идов, Лили Идова","Артем Васильев, Андрей Савельев, Айя Берзина",Александр Суркала,Дэйв Мэйсон,Айварс Жуковскис,,"драма, биография",{},None,None,None,339439,336110,,6.549,11673,None,None,100,None,,,,FALSE,(),22 апреля 2019,1 марта 2019,None :,$336 110,None
Гурвинек. Волшебная игра,840581,Гурвинек. Волшебная игра,,"Гурвинек — умный и жизнерадостный десятилетний мальчик, страстно желающий только одного — завершить последний уровень невероятно сложной компьютерной игры. Тогда его имя попадет в заветный Зал Славы, задиры из школы наконец-то признают его, и даже рассеянный отец сможет им гордиться. Но победа в виртуальной игре становится только началом настоящего путешествия Гурвинека, его верного пса и их невозмутимой соседки в давно забытый мир старинного городского музея игрушек. Гурвинек случайно активирует легендарный волшебный диск, который оживляет не только музей и всех его удивительных обитателей, но и чудовищного престарелого кукловода!",2018,"Россия, Чехия, Бельгия",,"Александр Трачевский, Михаил Ефремов, Константин Райкин, Алексей Колган, Юрий Стоянов, Анна Ардова, Ольга Тумайкина, Олеся Железняк, Андрей Рожков, Евгения Каверау","Мартин Котик, Джеспер Мюллер, Инна Евланникова","Петр Неповим, Дан Хардер, Николай Маковский","Вадим Сотсков, Сергей Зернов, Мартин Котик",,,,,"мультфильм, фэнтези, комедия, приключения, семейный",{},None,None,None,480187,1986855,,3.552,1903,None,None,80,None,,,,FALSE,(),31 августа 2017,7 марта 2019,None,None,None
Другой,1100435,Другой,The Hole in the Ground,"Молодая женщина Сара переезжает с сыном Крисом в дом на окраине небольшого городка. Однажды мальчик убегает из дома, и мать находит его посреди леса рядом с гигантской дырой неизвестного происхождения. А после встречи с местной сумасшедшей, по слухам много лет назад убившей собственного сына, Сара начинает сомневаться — кажется ли ей, что Крис ведёт себя странно, или на самом деле с её ребёнком творится что-то неладное.",2018,"Ирландия, Великобритания, Бельгия, Финляндия",«Мы здесь не одни»,"Шана Керслэйк, Джеймс Куинн Марки, Кати Оутинен, Дэвид Краули, Симона Кирби, Стив Уолл, Оуэн Мэкен, Сара Хэнли, Беннетт Эндрю, Джеймс Космо",Ли Кронин,"Ли Кронин, Стивен Шилдс","Эркки Астала, Конор Бэрри, Alexandra Bousiou",Том Камерфорд,Стефен МакКеон,"Конор Деннисон, Дерек Уоллес, Julian Gomez",Колин Кэмпбелл,"ужасы, драма, детектив",{},None,None,21072,243557,3373474,,5.276,3998,None,None,90,None,,,,FALSE,(),25 января 2019,21 марта 2019,64.5 тыс.,$21 072,None
Высшее общество,989142,Высшее общество,High Life,"Где-то за пределами Солнечной системы экипаж космического корабля выполняет необычную миссию. Его цель — ближайшая к Земле черная дыра. На его борту команда молодых мужчин и женщин — преступников, приговоренных к пожизненному заключению. В их числе Монте, добровольно отказавшийся от любви и интимных отношений. Обманным путем его семя вживляется одной из космических узниц. Рождается девочка, которой суждено изменить жизнь героя…",2018,"Великобритания, Франция, Германия, Польша",«Oblivion awaits»,"Роберт Паттинсон, Жюльет Бинош, Андре Бенджамин, Миа Гот, Агата Бузек, Ларс Айдингер, Клер Тран, Юэн Митчелл, Глория Обианьо, Скарлет Линдси",Клер Дени,"Клер Дени, Жан-Поль Фаржо, Джофф Кокс","Лоуренс Клерк, Оливер Дунги, Кристоф Фридель","Йорик Ле Со, Томаш Наумюк","Стюарт Стэйплс, Tindersticks","Ягна Добеш, Олафур Элиассон, Франсуа-Рено Лабарт",Гай Лекорн,"фантастика, триллер",{},None,None,1225852,164904,2133033,,5.684,6385,None,None,113,None,,,,FALSE,(),9 сентября 2018,11 апреля 2019,35 тыс.,$1 225 852,None
На Париж,1046486,На Париж,,"История советских офицеров, плечом к плечу прошедших войну и решивших отпраздновать Великую Победу в Париже. Друзья, выдержавшие страшный путь войны, доходят до самого Берлина и берут курс на новую жизнь — на любовь, захватывающие приключения и город мечты Париж.",2018,Россия,,"Дмитрий Певцов, Сергей Маковецкий, Рената Литвинова, Евгений Стычкин, Федор Добронравов, Максим Важов, Торнике Квитатиани, Игорь Золотовицкий, Кирилл Зайцев, Александр Рапопорт",Сергей Саркисов,"Станислав Говорухин, Сергей Ашкенази, Сергей Саркисов","Сергей Саркисов, Александр Жижневский, Рустам Юсипов",Владимир Климов,Артем Васильев,Антон Поликарпов,Николай Викторов,"история, приключения",{},None,None,None,None,142748,,4.691,2326,None,None,95,None,,,,FALSE,(),None,9 мая 2019,None,180 000 000 руб.,None
